0.08285119185373756,0.06965980097199723,0.05068271233510761,0.045591298310576255,0.04512844249016432,0.12867391807451978,0.15366813237676463,0.14927100208285118,0.1254339273316362,0.1490395741726452
0.09871666666666666,0.11236666666666667,0.0993,0.10218333333333333,0.09736666666666667,0.09035,0.09863333333333334,0.10441666666666667,0.09751666666666667,0.09915
0.098,0.1135,0.1032,0.101,0.0982,0.0892,0.0958,0.1028,0.0974,0.1009
  Target test, iter: 00001, sec: 23, loss: 2.30867, accuracy: 1014/10000, precision: 10.14000
  Target test, iter: 00018, sec: 23, loss: 1.03315, accuracy: 9130/10000, precision: 91.30000
  Target test, iter: 00019, sec: 22, loss: 0.93750, accuracy: 9144/10000, precision: 91.44000
  Target test, iter: 00020, sec: 23, loss: 0.89307, accuracy: 9137/10000, precision: 91.37000
  Target test, iter: 00021, sec: 23, loss: 0.95082, accuracy: 9132/10000, precision: 91.32000
  Target test, iter: 00022, sec: 22, loss: 0.93849, accuracy: 9129/10000, precision: 91.29000
  Target test, iter: 00023, sec: 23, loss: 0.86745, accuracy: 9146/10000, precision: 91.46000
  Target test, iter: 00024, sec: 23, loss: 0.92006, accuracy: 9156/10000, precision: 91.56000
  Target test, iter: 00025, sec: 22, loss: 0.93661, accuracy: 9126/10000, precision: 91.26000
  Target test, iter: 00026, sec: 23, loss: 0.88164, accuracy: 9154/10000, precision: 91.54000
  Target test, iter: 00027, sec: 23, loss: 0.87883, accuracy: 9152/10000, precision: 91.52000
  Target test, iter: 00028, sec: 23, loss: 0.89076, accuracy: 9129/10000, precision: 91.29000
  Target test, iter: 00029, sec: 23, loss: 0.89626, accuracy: 9118/10000, precision: 91.18000
  Target test, iter: 00030, sec: 23, loss: 0.85579, accuracy: 9134/10000, precision: 91.34000
  Target test, iter: 00031, sec: 23, loss: 0.88303, accuracy: 9123/10000, precision: 91.23000
  Target test, iter: 00032, sec: 23, loss: 0.90945, accuracy: 9100/10000, precision: 91.00000
  Target test, iter: 00033, sec: 23, loss: 0.87564, accuracy: 9121/10000, precision: 91.21000
  Target test, iter: 00034, sec: 23, loss: 0.89910, accuracy: 9112/10000, precision: 91.12000
  Target test, iter: 00035, sec: 23, loss: 0.89499, accuracy: 9120/10000, precision: 91.20000
  Target test, iter: 00036, sec: 23, loss: 0.91943, accuracy: 9098/10000, precision: 90.98000
  Target test, iter: 00037, sec: 23, loss: 0.89044, accuracy: 9119/10000, precision: 91.19000
  Target test, iter: 00038, sec: 22, loss: 0.90154, accuracy: 9109/10000, precision: 91.09000
  Target test, iter: 00039, sec: 23, loss: 0.89808, accuracy: 9111/10000, precision: 91.11000
  Target test, iter: 00040, sec: 23, loss: 0.87834, accuracy: 9118/10000, precision: 91.18000
  Target test, iter: 00041, sec: 22, loss: 0.88220, accuracy: 9114/10000, precision: 91.14000
  Target test, iter: 00042, sec: 23, loss: 0.89399, accuracy: 9112/10000, precision: 91.12000
  Target test, iter: 00043, sec: 23, loss: 0.88959, accuracy: 9115/10000, precision: 91.15000
  Target test, iter: 00044, sec: 22, loss: 0.90171, accuracy: 9108/10000, precision: 91.08000
  Target test, iter: 00045, sec: 23, loss: 0.90225, accuracy: 9102/10000, precision: 91.02000
  Target test, iter: 00046, sec: 4, loss: 0.89082, accuracy: 9106/10000, precision: 91.06000
  Target test, iter: 00047, sec: 4, loss: 0.88655, accuracy: 9109/10000, precision: 91.09000
  Target test, iter: 00048, sec: 4, loss: 0.89200, accuracy: 9110/10000, precision: 91.10000
  Target test, iter: 00049, sec: 4, loss: 0.88733, accuracy: 9108/10000, precision: 91.08000
  Target test, iter: 00050, sec: 4, loss: 0.89592, accuracy: 9105/10000, precision: 91.05000
  Target test, iter: 00051, sec: 4, loss: 0.89607, accuracy: 9103/10000, precision: 91.03000
  Target test, iter: 00052, sec: 4, loss: 0.89381, accuracy: 9104/10000, precision: 91.04000
  Target test, iter: 00053, sec: 4, loss: 0.89248, accuracy: 9110/10000, precision: 91.10000
  Target test, iter: 00054, sec: 4, loss: 0.90690, accuracy: 9100/10000, precision: 91.00000
  Target test, iter: 00055, sec: 4, loss: 0.89973, accuracy: 9100/10000, precision: 91.00000
  Target test, iter: 00056, sec: 4, loss: 0.90172, accuracy: 9099/10000, precision: 90.99000
  Target test, iter: 00057, sec: 4, loss: 0.89586, accuracy: 9109/10000, precision: 91.09000
  Target test, iter: 00058, sec: 4, loss: 0.89242, accuracy: 9110/10000, precision: 91.10000
  Target test, iter: 00059, sec: 4, loss: 0.89958, accuracy: 9103/10000, precision: 91.03000
  Target test, iter: 00060, sec: 4, loss: 0.89826, accuracy: 9100/10000, precision: 91.00000
  Target test, iter: 00061, sec: 4, loss: 0.89924, accuracy: 9101/10000, precision: 91.01000
  Target test, iter: 00062, sec: 4, loss: 0.89504, accuracy: 9105/10000, precision: 91.05000
  Target test, iter: 00063, sec: 5, loss: 0.89810, accuracy: 9105/10000, precision: 91.05000
  Target test, iter: 00064, sec: 4, loss: 0.89875, accuracy: 9103/10000, precision: 91.03000
  Target test, iter: 00065, sec: 4, loss: 0.89891, accuracy: 9104/10000, precision: 91.04000
  Target test, iter: 00066, sec: 4, loss: 0.89870, accuracy: 9103/10000, precision: 91.03000
  Target test, iter: 00067, sec: 4, loss: 0.89875, accuracy: 9106/10000, precision: 91.06000
  Target test, iter: 00068, sec: 5, loss: 0.89905, accuracy: 9104/10000, precision: 91.04000
  Target test, iter: 00069, sec: 4, loss: 0.89864, accuracy: 9104/10000, precision: 91.04000
  Target test, iter: 00070, sec: 4, loss: 0.89866, accuracy: 9103/10000, precision: 91.03000
  Target test, iter: 00071, sec: 12, loss: 0.89990, accuracy: 9103/10000, precision: 91.03000
